Transporteur,Origine,Origine_uic,Destination,Destination_uic,Distance entre les gares,Train - Empreinte carbone (kgCO2e),Autocar longue distance - Empreinte carbone (kgCO2e),Avion - Empreinte carbone (kgCO2e),Voiture électrique (2.2 pers.) - Empreinte carbone (kgCO2e),Voiture thermique (2.2 pers.) - Empreinte carbone (kgCO2e)
International,Paris Gare de Lyon,87686006,Barcelona Sants,71718010,1076.0,3.1204,35.811,119.2256,48.786,111.8964
TGV,Paris Montparnasse,87391003,Angoulême,87583005,428.0,1.2412,15.525,,21.15,48.51
TGV,Paris Gare de Lyon,87686006,Chambéry - Challes-les-Eaux,87741009,531.951,1.5426579,19.6995,,26.837,61.553799999999995
TGV,Paris Montparnasse,87391003,Bordeaux Saint-Jean,87581009,537.13,1.557677,20.2515,129.6294,27.589,63.2786
Intercités,Paris-Austerlitz,87547000,Limoges-Bénédictins,87592006,400.0,2.8,13.524,,18.424,42.2576
TER,Chambéry-Challes-les-Eaux,87741009,Lyon Part-Dieu,87723197,107.0,2.6108,3.7605,,5.123,11.7502
TER,Belfort,87184002,Besançon-Viotte,87300863,96.0,2.3423999999999996,3.4155,,4.653,10.672199999999998
TGV,Paris Gare de Lyon,87686006,Saint-Raphaël,87757526,908.65,2.635085,30.2565,,41.219,94.5406
TER,Le Havre Gare locale,87413013,Rouen Rive Droite,87411017,88.0,2.1471999999999998,3.174,,4.324,9.9176
International,Aéroport Charles de Gaulle 2 TGV,87271494,Bruxelles Midi Brussel Zuid,88140010,310.0,0.899,9.9015,34.5353,13.489,30.938599999999997
International,Paris Est,87113001,Stuttgart HBF,80290346,608.0,4.134399999999999,21.459,72.07990000000001,29.234,67.0516
TGV,Massy-TGV,87393702,Bordeaux Saint-Jean,87581009,523.0,1.5167,19.6305,,26.743,61.3382
TGV,Paris Gare de Lyon,87686006,Nice,87756056,971.68,2.817872,32.223,179.3467,43.898,100.6852
TGV,Lyon Part Dieu,87723197,Montpellier Saint-Roch,87773002,314.0,0.9106000000000001,10.4535,,14.241,32.663399999999996
International,Paris Est,87113001,Frankfurt Main HBF,80110684,659.0,4.481199999999999,19.7685,68.9273,26.931,61.769400000000005
International,Paris Est,87113001,Freiburg Breisgau HBF,80143503,530.0,3.604,20.562,,28.012,64.24879999999999
